task,enabled_observations,distinct_raw_query_hashes,distinct_ranked_lists,distinct_evidence_blocks,grades_in_rank_order,precision_at_5,dcg_at_5,idcg_returned_set,within_returned_set_ndcg_at_5,grade_0_count,grade_1_count,grade_2_count,returned_count,delivered_count,delivered_returned_ratio,fully_delivered_records,partly_delivered_records,omitted_records,rendered_block_chars,directly_useful_delivered_records,distinct_source_tickets
T1,5,5,1,1,"[0, 0, 2, 0, 2]",0.4,2.660558421703625,4.892789260714372,0.5437713091520254,3,0,2,5,4,0.8,3,1,1,12000,1,3
T2,5,5,1,1,"[0, 1, 0, 2, 2]",0.6,3.0835178494952618,5.392789260714372,0.5717853415779118,2,1,2,5,5,1.0,5,0,0,10326,2,3
T3,30,1,1,1,"[1, 1, 1, 1, 1]",1.0,2.9484591188793923,2.9484591188793923,1.0,0,5,0,5,4,0.8,3,1,1,12000,0,3
